id,mz,rt,rtmin,rtmax,mean_inten,DPT-D-60m,DPT-H-60m,DPT-M-60m,DPT-R-60m
306,620.38563,4.3976,4.3155,4.614,1068000.0,47870.0,43510.0,44190.0,45940.0
307,476.22825,4.4048,4.3462,4.4751,755400.0,26630.0,23200.0,19210.0,28330.0
308,597.30955,4.3976,4.3383,4.5461,249700.0,10520.0,10850.0,10330.0,10920.0
309,532.3696,4.4155,4.3194,4.6185,237000.0,16230.0,15480.0,14970.0,16650.0
311,487.31164,4.419,4.3029,4.824,697900.0,52120.0,48330.0,41750.0,52100.0
312,504.33825,4.419,4.2907,4.7666,519500.0,54470.0,51580.0,46510.0,55390.0
313,647.31832,4.4259,4.3625,4.5473,247400.0,10620.0,12340.0,9940.0,11790.0
314,448.26888,4.4402,4.3891,4.575,258500.0,8817.0,7874.0,8004.0,9686.0
316,950.37434,4.508,4.4014,4.5805,173200.0,266.4,345.6,7880.0,694.9
317,843.1403,4.515,4.4035,4.7039,286400.0,216.0,220.9,1039.0,30540.0
318,606.3338,4.4618,4.4048,4.6473,864900.0,37870.0,40730.0,36660.0,41870.0
319,418.25105,4.5472,4.4048,4.6464,291500.0,201.5,11790.0,307.4,309.8
320,434.31171,4.4654,4.3891,4.6329,752200.0,4184.0,27870.0,2522.0,10400.0
321,574.30724,4.4868,4.2376,4.6519,349300.0,22270.0,4162.0,2688.0,2524.0
322,619.35394,4.4833,4.3905,4.7091,436400.0,19290.0,16920.0,17790.0,19150.0
323,636.38074,4.4833,4.4192,5.0396,15150000.0,724200.0,677400.0,652000.0,722200.0
324,664.41172,4.4833,4.3951,4.6905,595500.0,24860.0,28170.0,28770.0,28290.0
325,606.37005,4.6723,4.5517,4.8812,393800.0,43590.0,37530.0,37760.0,40100.0
329,427.21774,4.5042,4.4437,4.7091,597600.0,25100.0,26130.0,24070.0,26290.0
330,444.24436,4.5042,4.4523,4.632,56490000.0,2407000.0,2516000.0,2378000.0,2600000.0
331,472.27557,4.5042,4.4379,4.8095,4273000.0,158800.0,169100.0,159700.0,175200.0
332,531.33787,4.5042,4.4048,4.8044,838800.0,44310.0,45010.0,40790.0,46390.0
333,576.39543,4.5042,4.4178,4.7187,334300.0,15890.0,17690.0,16150.0,18130.0
334,449.19926,4.5042,4.3891,4.6896,896200.0,28780.0,28060.0,25960.0,39770.0
335,548.36398,4.5076,4.381,4.819,931700.0,80520.0,80200.0,74690.0,86090.0
336,650.36029,4.5433,4.4894,4.7187,827900.0,33500.0,36840.0,34150.0,37410.0
337,680.40728,4.5578,4.4904,4.9628,7497000.0,370300.0,288900.0,323900.0,326900.0
339,460.73542,4.5151,4.4192,4.7,282500.0,84.94,973.3,15340.0,5281.0
341,575.36453,4.5866,4.495,4.9052,541100.0,31010.0,33010.0,30990.0,34560.0
342,562.34401,4.5972,4.4606,4.7091,316700.0,31740.0,31510.0,28740.0,33360.0
343,448.23333,4.4546,4.1331,4.5282,942100.0,94020.0,75940.0,37290.0,44200.0
344,476.2643,4.5901,4.5328,4.7901,641600.0,38190.0,33490.0,34920.0,37420.0
345,592.39072,4.6007,4.4865,4.9245,1264000.0,111600.0,110700.0,107200.0,118100.0
347,491.27855,4.6113,4.5461,4.7901,392100.0,16290.0,17570.0,15600.0,18950.0
348,476.22846,4.6078,4.5427,4.9002,4575000.0,624800.0,583600.0,569900.0,573700.0
349,493.22577,4.6113,4.5606,4.8044,539000.0,24170.0,23720.0,20860.0,30610.0
350,650.39614,4.7116,4.4293,4.8095,336600.0,32850.0,28520.0,13490.0,30420.0
351,443.24903,4.6148,4.5517,4.7469,759200.0,37070.0,36740.0,35790.0,40050.0
352,471.24396,4.6148,4.5517,4.8334,543900.0,25650.0,27210.0,23710.0,26710.0
353,488.27075,4.6148,4.5606,4.7283,56590000.0,2536000.0,2674000.0,2534000.0,2719000.0
354,516.30192,4.6148,4.5473,4.9821,2310000.0,111500.0,121100.0,103700.0,111800.0
355,694.38624,4.6183,4.5661,4.7717,518100.0,24040.0,21220.0,23800.0,22640.0
357,724.43304,4.629,4.5661,4.9148,2059000.0,99020.0,71000.0,89830.0,85650.0
358,619.39088,4.6543,4.5761,4.8095,298100.0,18730.0,16060.0,17220.0,15950.0
360,636.417,4.6901,4.5661,4.9965,1290000.0,115400.0,103300.0,106800.0,108200.0
361,576.36061,4.6902,4.5229,4.8764,274600.0,40190.0,40400.0,29480.0,37630.0
362,768.45901,4.6938,4.6185,4.8,337100.0,13350.0,10550.0,11470.0,10320.0
363,481.18462,4.7009,4.6473,4.867,535100.0,22390.0,8769.0,5285.0,14010.0
364,535.30472,4.7079,4.6425,4.8384,439100.0,19320.0,20430.0,16400.0,19190.0
365,515.27029,4.7079,4.6425,4.9245,506500.0,22790.0,23960.0,19980.0,21310.0
366,532.29712,4.7079,4.657,4.819,51100000.0,2191000.0,2395000.0,2160000.0,2165000.0
367,487.27541,4.7115,4.623,4.9196,445700.0,19520.0,22870.0,18800.0,17970.0
368,560.32797,4.7115,4.6374,4.9774,1731000.0,79150.0,85200.0,78370.0,79540.0
369,537.25183,4.7115,4.623,4.8957,456300.0,21860.0,17290.0,16380.0,15910.0
372,416.30072,4.6437,4.5373,4.8621,643700.0,25930.0,10490.0,5426.0,42150.0
373,680.4432,4.733,4.632,5.0007,736200.0,62570.0,50000.0,52210.0,49310.0
375,620.387,4.7582,4.6036,4.9916,411300.0,43360.0,48420.0,36530.0,42740.0
377,681.90986,4.8228,4.7428,4.9863,292800.0,241.8,162.3,18110.0,242.7
378,681.95411,4.8551,4.7428,5.0442,241000.0,479.7,70.68,20750.0,243.5
379,714.27988,4.7943,4.6185,4.963,269600.0,694.8,189.9,23860.0,219.4
381,789.41632,4.8444,4.6905,5.1293,454300.0,777.5,265.4,45360.0,1276.0
382,833.15838,4.8156,4.7283,4.9719,382500.0,670.0,434.5,32350.0,223.9
384,559.29683,4.7975,4.7331,5.0063,460000.0,19270.0,23290.0,19770.0,19830.0
385,576.32345,4.7975,4.7428,4.9052,41390000.0,1608000.0,2002000.0,1680000.0,1613000.0
386,604.35435,4.7975,4.7234,5.1117,1100000.0,54800.0,61580.0,52950.0,57220.0
387,833.10311,4.7975,4.7428,4.9433,242300.0,811.2,425.2,25260.0,382.1
388,882.22175,4.8082,4.6896,4.9148,272400.0,340.8,288.2,25510.0,736.4
389,504.25949,4.801,4.7614,4.8528,740700.0,26060.0,27120.0,24100.0,21710.0
390,575.26096,4.8118,4.6374,4.8715,198600.0,22710.0,10590.0,11920.0,15540.0
391,789.37373,4.8047,4.6905,5.0731,314600.0,269.2,321.1,40640.0,363.9
392,789.4709,4.8874,4.7428,5.006,397100.0,288.2,369.7,37190.0,359.8
393,800.78275,4.7904,4.6752,4.9101,274600.0,270.3,180.7,215.1,16730.0
394,664.41203,4.8262,4.6089,4.9341,339600.0,32580.0,28120.0,28720.0,26730.0
395,504.22336,4.8622,4.7905,5.0207,4673000.0,180900.0,575900.0,278100.0,238000.0
396,724.46943,4.8334,4.6896,5.0207,211900.0,19020.0,16860.0,11060.0,25730.0
397,476.26445,4.8586,4.7717,5.1933,959300.0,50820.0,52390.0,39900.0,42950.0
399,711.84102,4.8409,4.7428,4.9918,384900.0,204.6,14340.0,319.3,187.3
400,603.32286,4.8728,4.8046,5.1117,471700.0,20060.0,22820.0,16840.0,20890.0
401,620.3496,4.8728,4.819,4.9821,34610000.0,1382000.0,1635000.0,1321000.0,1422000.0
402,648.3806,4.8728,4.7811,5.1499,877200.0,41990.0,47500.0,39900.0,44920.0
403,625.30453,4.8764,4.8189,4.963,321800.0,13400.0,14240.0,11780.0,15050.0
404,520.21845,5.0743,4.7717,5.1397,749400.0,44810.0,44990.0,21900.0,58940.0
405,708.43791,4.8871,4.7234,4.9965,195100.0,16950.0,12540.0,11820.0,11360.0
406,996.60128,4.862,4.7039,4.9863,137600.0,552.6,374.2,8685.0,440.2
407,650.39613,4.7366,4.5805,4.9965,336600.0,43170.0,30510.0,29700.0,27540.0
408,925.63662,4.8693,4.7901,5.0152,213500.0,696.9,252.2,13090.0,803.4
409,996.83324,4.9269,4.7905,5.0685,207800.0,364.0,321.9,8928.0,758.1
410,996.91409,4.9678,4.8574,5.0784,211500.0,911.6,,13540.0,374.8
412,653.69427,4.9448,4.8763,5.2138,187500.0,363.3,97.01,16810.0,136.6
413,520.25459,4.9376,4.8574,5.0784,192800.0,9154.0,9210.0,6996.0,8820.0
414,751.50479,4.8872,4.7758,5.3562,566300.0,518.6,591.7,67270.0,286.9
415,790.89507,4.988,4.8812,5.2279,468800.0,280.1,369.4,53880.0,310.9
416,790.94031,4.9699,4.8621,5.0493,650500.0,332.3,235.1,32810.0,335.7
417,791.05034,4.9952,4.9002,5.1255,463100.0,596.2,310.9,40860.0,273.4
418,834.7752,4.9664,4.9002,5.1014,658900.0,1050.0,615.0,49910.0,619.7
419,834.88451,4.9233,4.8384,5.1293,605200.0,465.1,635.2,50350.0,789.6
422,669.33087,4.9448,4.8908,5.0493,220800.0,9172.0,8812.0,6507.0,7989.0
423,664.37598,4.9448,4.8908,5.0496,18280000.0,866900.0,832700.0,605900.0,818200.0
424,647.34898,4.9448,4.8715,5.1255,304900.0,14330.0,12570.0,9371.0,13080.0
425,692.40703,4.9448,4.7952,5.2981,433500.0,26540.0,22110.0,14390.0,22820.0
426,751.40334,4.9736,4.8046,5.1355,427600.0,854.5,204.0,39820.0,451.0
427,751.4417,4.916,4.8189,5.1293,638000.0,816.0,212.9,44920.0,588.4
428,790.99793,5.0168,4.8857,5.1293,478000.0,448.1,230.1,45390.0,250.4
430,476.22851,4.9987,4.8907,5.2404,2167000.0,286800.0,275600.0,43330.0,261200.0
431,466.19954,5.0312,4.9484,5.2506,362000.0,51760.0,51030.0,17260.0,47910.0
432,505.26322,5.0096,4.9292,5.2506,1638000.0,94100.0,93890.0,18850.0,62330.0
433,504.25985,5.0096,4.9433,5.2649,5501000.0,314800.0,311000.0,61320.0,294600.0
434,708.40242,5.0096,4.9676,5.0781,5864000.0,259400.0,225900.0,122800.0,213200.0
437,568.76698,5.0241,4.8715,5.2649,306600.0,7981.0,2279.0,4765.0,24320.0
439,864.0602,5.0133,4.9101,5.1213,47040.0,464.7,176.9,1696.0,198.2
440,752.42833,5.0673,5.0007,5.2568,1891000.0,75210.0,73100.0,65250.0,69160.0
442,822.86017,5.1029,4.9052,5.2713,432800.0,598.7,171.0,31760.0,226.3
443,868.51264,5.0816,4.8957,5.5535,571100.0,392.4,281.8,59860.0,407.2
444,919.54683,5.0887,5.006,5.1995,373300.0,503.8,276.5,35920.0,312.0
445,977.1445,5.0384,4.9485,5.1711,412700.0,228.4,357.0,21610.0,269.7
448,781.71527,5.1209,4.963,5.2836,320200.0,769.0,160.7,17280.0,305.4
449,781.825,5.0383,4.9341,5.157,325200.0,434.5,788.0,19330.0,439.1
450,868.46373,5.1244,4.9628,5.2981,360000.0,822.6,147.0,27390.0,462.9
451,520.21847,5.1173,4.7522,5.6111,782600.0,102900.0,102800.0,48860.0,98450.0
452,883.88011,4.9806,4.8189,5.1397,634100.0,953.1,336.5,35680.0,886.5
453,883.945,4.9772,4.8908,5.1014,520300.0,791.1,236.9,46040.0,280.1
455,977.01528,5.074,4.9628,5.2138,338900.0,375.2,241.1,36600.0,308.9
456,796.45409,5.1243,5.0541,5.3082,741700.0,42090.0,28860.0,32800.0,43920.0
459,560.76925,5.1279,4.9774,5.5078,9249000.0,593700.0,213200.0,521400.0,772100.0
460,481.18488,5.1279,4.963,5.6081,3562000.0,225300.0,83900.0,165800.0,284500.0
462,834.94342,4.9161,4.7763,5.1153,276700.0,651.8,338.0,34040.0,215.7
463,919.4835,5.0993,5.0296,5.4549,325200.0,373.3,178.2,49890.0,822.2
464,1120.53125,5.1314,5.0063,5.4512,4858000.0,253400.0,92080.0,406600.0,326700.0
465,640.35323,5.1314,4.963,5.4261,1908000.0,124900.0,42070.0,104600.0,157400.0
467,790.94036,4.9915,4.8621,5.1153,216500.0,332.3,235.1,14720.0,335.7
468,834.88566,5.196,4.9918,5.322,154200.0,372.6,347.2,12490.0,789.6
470,790.99963,5.1168,4.9965,5.342,130400.0,448.1,230.1,18030.0,390.3
471,834.99309,5.1024,4.9772,5.2713,192300.0,653.3,915.0,15740.0,636.0
474,603.29222,5.081,4.9774,5.2279,215100.0,12540.0,12930.0,4124.0,10940.0
475,751.40041,5.21,5.1072,5.3504,231500.0,377.5,142.3,13640.0,451.0
476,504.2234,5.1993,5.0637,5.342,15210000.0,1856000.0,1945000.0,1435000.0,1893000.0
477,505.22663,5.1993,5.064,5.3983,4354000.0,423100.0,444900.0,320800.0,547200.0
480,416.30092,5.049,4.8528,5.1428,381500.0,29510.0,7373.0,2351.0,8502.0
481,781.76446,5.0563,4.8908,5.1995,243600.0,926.4,488.2,21730.0,187.3
483,532.25492,5.2209,5.164,5.2794,7135000.0,282700.0,310600.0,215200.0,301000.0
484,533.25817,5.2209,5.164,5.2836,2227000.0,91130.0,96240.0,67900.0,91160.0
485,451.27038,5.2244,5.1498,5.3797,218700.0,10660.0,11030.0,6229.0,13840.0
487,919.60776,5.1533,5.0296,5.2793,417700.0,540.6,224.9,30050.0,709.0
489,430.22275,5.2495,5.0925,5.3508,234700.0,14370.0,18980.0,4952.0,13570.0
491,473.28368,5.2676,5.1828,5.4656,211200.0,15840.0,11120.0,6782.0,15040.0
492,448.23317,5.3101,5.064,5.5506,1453000.0,49310.0,119700.0,44740.0,100600.0
496,596.77998,5.3178,5.2076,5.4549,215300.0,18160.0,15110.0,17090.0,16480.0
498,919.66351,5.3387,5.2505,5.4406,119900.0,633.7,541.6,12310.0,260.5
499,532.21879,5.3387,5.2793,5.5109,22800000.0,2136000.0,2276000.0,2066000.0,2287000.0
500,533.22192,5.3387,5.2793,5.5109,6823000.0,635800.0,677900.0,611300.0,684600.0
501,504.25951,5.3423,5.226,5.6081,2632000.0,154100.0,146200.0,131700.0,149200.0
502,505.26288,5.3423,5.226,5.6111,792700.0,46610.0,42220.0,37170.0,41050.0
504,403.17518,5.3101,5.1499,5.3983,295800.0,3717.0,12300.0,6377.0,8628.0
505,480.27473,5.314,5.1853,5.565,360800.0,847.3,80.23,5743.0,34990.0
506,466.1994,5.3816,5.2361,5.6657,730300.0,52510.0,44640.0,43740.0,50730.0
507,919.54205,5.339,5.1995,5.4368,159700.0,719.9,265.2,13130.0,222.8
508,440.30095,5.3714,5.2218,5.5252,379400.0,6986.0,43800.0,41370.0,43200.0
510,494.23064,5.3992,5.3401,5.5678,491300.0,32360.0,25440.0,26720.0,27300.0
512,548.24848,5.4135,5.3145,5.6944,618800.0,30990.0,31130.0,34520.0,32970.0
513,417.22507,5.3999,5.2568,5.7357,242600.0,1813.0,39370.0,4448.0,16420.0
514,868.45847,5.3921,5.2548,5.5362,140400.0,495.5,865.3,9080.0,261.9
515,548.21324,5.4563,5.3082,5.9412,1222000.0,100300.0,108800.0,99620.0,109000.0
516,458.21753,5.46,5.3082,5.5823,418900.0,41670.0,39330.0,34420.0,42910.0
517,462.22117,5.4743,5.4123,5.5779,335100.0,157.7,12210.0,576.1,7360.0
518,412.27336,5.4882,5.3508,5.7808,817200.0,4838.0,2095.0,753.0,57390.0
519,430.28419,5.552,5.3508,5.8384,2802000.0,1441.0,980.7,936.3,187400.0
520,466.31173,5.4664,5.3508,5.5794,707800.0,60.16,242.0,,49370.0
523,532.25469,5.4957,5.422,5.7088,16160000.0,1028000.0,1076000.0,965300.0,1123000.0
524,533.25798,5.4957,5.422,5.7088,5173000.0,319500.0,335400.0,303600.0,349200.0
525,822.8585,5.3172,5.2073,5.4648,185300.0,598.7,237.5,11840.0,218.9
526,496.269,5.4809,5.3224,5.8557,794000.0,59440.0,122.2,19550.0,32510.0
527,478.26336,5.5164,5.3797,5.8125,296000.0,24120.0,990.0,6604.0,25240.0
528,514.28436,5.463,5.3652,5.7549,496600.0,35360.0,98.72,10890.0,33250.0
