row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,CPD-D-60m.mzML Peak area,CPD-H-60m.mzML Peak area,CPD-M-60m.mzML Peak area,CPD-R-60m.mzML Peak area,
174,518.3178352624824,3.8368416,,,,,,,,,,,9361.556,7972.744,10032.502,9542.436,
175,490.2865614793672,3.8368416,,,,,,,,,,,42902.855,42772.11,45550.87,45847.16,
176,504.2788362729941,3.8368416,,,,,,,,,,,25632.738,34078.582,37023.97,39577.746,
177,503.275937109644,3.8368416,,,,,,,,,,,123794.59,126029.6,138926.36,141903.89,
181,386.2025860816351,3.8800669,,,,,,,,,,,28062.25,29217.28,30888.203,30180.748,
182,414.23181272558037,3.8800669,,,,,,,,,,,17019.072,18257.082,19263.533,20562.855,
183,548.3649099349665,3.8944614,,,,,,,,,,,20018.021,17253.076,21825.375,20051.254,
184,520.3339424098166,3.8944614,,,,,,,,,,,235398.75,206748.9,252805.05,223631.88,
185,474.25509364715356,3.9088519,,,,,,,,,,,7739.8413,6421.7095,8399.445,7056.198,
186,534.3128537392914,3.9515946,,,,,,,,,,,31246.088,31300.875,33890.684,33510.105,
187,591.2920181447416,3.9083734,,,,,,,,,,,20466.453,20258.725,23759.727,26106.621,
188,371.22790860783164,3.9659743,,,,,,,,,,,24041.547,21152.787,26284.379,24675.205,
189,399.22297456004424,3.9659743,,,,,,,,,,,70631.625,58109.406,71847.81,70786.37,
190,416.24950464826907,3.9659743,,,,,,,,,,,889939.1,807739.75,912292.8,958068.56,
191,421.2046526041984,3.9659743,,,,,,,,,,,14412.086,15885.954,16188.982,17425.273,
192,444.2807906061259,3.9659743,,,,,,,,,,,126086.97,107032.125,124660.484,117988.91,
193,591.3281014523657,3.9659743,,,,,,,,,,,6227.028,5718.463,6263.4404,11476.185,
194,503.3113812827943,3.970068,,,,,,,,,,,33883.367,49862.383,38884.887,38952.195,
195,464.22843472218517,4.0884485,,,,,,,,,,,541.4865,38048.633,580.34064,302.27835,
196,592.3909759167534,3.9948423,,,,,,,,,,,12958.454,10042.853,13253.889,11918.752,
197,547.3333669928678,3.9948423,,,,,,,,,,,11283.588,8894.188,12278.388,11190.242,
198,564.3600569375521,3.9948423,,,,,,,,,,,186989.28,163552.0,196823.8,193600.78,
199,453.34397851833563,4.002054,,,,,,,,,,,4527.054,5319.9956,4316.776,6747.1904,
200,548.2920570288995,3.9948423,,,,,,,,,,,7030.4917,6748.762,8794.465,8790.975,
201,416.285264468639,4.1281576,,,,,,,,,,,7480.633,8008.9897,8557.7705,10277.296,
202,518.2815428622416,4.0236416,,,,,,,,,,,9464.496,8285.267,8484.771,11106.567,
203,430.22910994366,4.0236416,,,,,,,,,,,36813.008,37445.035,43381.895,42028.582,
204,531.2711412669653,4.0236416,,,,,,,,,,,72301.55,78259.9,85296.12,91806.766,
206,420.23844670602085,4.027257,,,,,,,,,,,7391.5273,5792.1387,7484.3057,7432.729,
207,458.25952356270363,4.0308495,,,,,,,,,,,14146.47,14530.008,15752.333,18170.72,
208,578.3391635652005,4.0452423,,,,,,,,,,,20639.186,20031.49,19471.127,19368.584,
209,390.3581196138903,4.0463624,,,,,,,,,,,0,13373.63,0,0,
210,506.3055275227648,4.167555,,,,,,,,,,,45615.957,5046.351,49710.31,49207.707,
211,368.2282411388088,4.0560656,,,,,,,,,,,6546.583,8834.292,7625.328,7564.659,
212,400.29112746812984,4.05965,,,,,,,,,,,8290.743,7757.3184,8463.193,10027.689,
213,355.23287177996394,4.05604,,,,,,,,,,,12113.57,11725.749,14280.912,13761.95,
214,608.3858498423449,4.0812583,,,,,,,,,,,143357.75,128557.08,156502.1,149787.34,
215,636.4169087090091,4.084851,,,,,,,,,,,7175.255,6374.1216,6570.2417,7026.548,
216,377.21492852488916,4.0884514,,,,,,,,,,,11872.027,11008.167,12943.676,13095.373,
217,465.2311519645338,4.0920496,,,,,,,,,,,14608.836,25159.938,13943.844,16790.643,
218,463.2835897768891,4.095658,,,,,,,,,,,5163.3545,4868.1914,6036.375,5399.587,
219,415.2540236841049,4.095658,,,,,,,,,,,33294.895,26747.408,34797.39,34524.52,
220,443.2491181281009,4.095658,,,,,,,,,,,102286.91,91711.94,104823.57,107888.84,
221,460.2756804549536,4.095658,,,,,,,,,,,1191651.5,1108187.8,1249835.1,1257582.2,
222,488.3072485542641,4.095658,,,,,,,,,,,109286.445,100337.19,112122.586,114896.836,
223,592.3163930338246,4.095658,,,,,,,,,,,4884.8438,4917.0435,5605.9043,6144.635,
224,562.307602098331,4.1244645,,,,,,,,,,,7274.009,5828.562,8037.0586,8038.3276,
225,414.27012693330516,4.1244645,,,,,,,,,,,10458.466,10253.8955,11760.1,11572.368,
226,622.3654544114154,4.1388884,,,,,,,,,,,12520.911,11711.121,13831.912,12426.53,
227,619.2869051291111,4.1460857,,,,,,,,,,,24778.004,26742.158,28947.168,30736.674,
228,550.3317182086516,4.2680073,,,,,,,,,,,44496.367,42860.223,50672.074,6851.6777,
229,391.19409800219825,4.1496944,,,,,,,,,,,19979.09,21766.951,22096.143,23052.838,
230,502.2862435782847,4.1569133,,,,,,,,,,,9479.842,10181.983,11119.06,11554.9795,
231,474.2551501090102,4.1569133,,,,,,,,,,,50458.812,46756.64,60696.887,58095.21,
232,388.3424632698389,4.175502,,,,,,,,,,,38.318527,16306.877,0,0,
233,652.412198989631,4.167747,,,,,,,,,,,93238.48,74763.98,100970.695,99987.0,
235,531.3048042850562,4.178497,,,,,,,,,,,98287.38,92093.9,108183.17,112853.63,
237,399.2591603947249,4.1999135,,,,,,,,,,,21968.758,20517.967,24918.508,25635.055,
238,487.2752687913906,4.207083,,,,,,,,,,,80175.75,67617.75,82354.625,84086.31,
239,504.3018507268806,4.207083,,,,,,,,,,,1327509.6,1211754.8,1388015.2,1416558.0,
240,532.3329869710498,4.207083,,,,,,,,,,,95024.77,76359.37,92813.42,92673.74,
241,509.25714220820885,4.2106113,,,,,,,,,,,15305.667,12003.86,15097.65,15645.043,
242,371.10601422415505,4.2247634,,,,,,,,,,,24938.14,22396.818,27573.658,27326.81,
243,361.146772210303,4.231881,,,,,,,,,,,74946.33,66444.85,57711.414,60484.348,
244,356.19166079697334,4.231881,,,,,,,,,,,1452419.9,1437907.0,1620929.4,1666144.2,
245,370.2071744386596,4.231881,,,,,,,,,,,14247.665,12138.268,15153.765,15698.542,
246,384.22290186360334,4.231881,,,,,,,,,,,426408.5,427708.6,426214.8,456823.97,
