row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DPT-D-60m.mzML Peak area,DPT-H-60m.mzML Peak area,DPT-M-60m.mzML Peak area,DPT-R-60m.mzML Peak area,
219,548.2921151075998,3.9991026,,,,,,,,,,,7159.2354,6467.051,7233.6543,9064.477,
221,419.1584241189714,4.0820017,,,,,,,,,,,1812.56,5870.7236,1266.6932,462.51672,
222,464.22855362050666,4.060349,,,,,,,,,,,680.1471,34852.1,665.93787,757.5089,
223,416.2858892319549,4.1648464,,,,,,,,,,,17306.15,13218.371,8549.641,17121.312,
225,531.2712008048655,4.020726,,,,,,,,,,,61054.184,63884.027,68892.74,78492.1,
226,518.2816113836119,4.0243382,,,,,,,,,,,9196.477,6086.4736,9631.583,8231.996,
227,430.22917517156975,4.0279303,,,,,,,,,,,34424.656,33475.758,38603.504,41155.117,
229,458.25953536167856,4.0315237,,,,,,,,,,,15934.205,12911.211,17360.678,16048.582,
231,749.5174101149767,4.0819902,,,,,,,,,,,126.41696,8829.041,126.85297,141.84511,
232,578.3393561998099,4.0423107,,,,,,,,,,,18871.904,21076.115,18686.54,19807.428,
236,591.359599531083,4.0855517,,,,,,,,,,,7431.112,5969.0747,7182.3965,7003.7495,
237,901.9406584548124,4.164236,,,,,,,,,,,0,222.81053,26992.105,240.7414,
238,608.386126070886,4.0855517,,,,,,,,,,,174395.88,139812.81,173621.69,166784.67,
239,636.4172548573248,4.0855517,,,,,,,,,,,8275.041,7003.484,7695.828,7744.9985,
241,415.2541987500488,4.08913,,,,,,,,,,,37885.203,29628.334,38083.074,38281.53,
242,443.24929037894947,4.08913,,,,,,,,,,,112598.086,97317.54,117951.53,121385.17,
243,460.27589772900575,4.08913,,,,,,,,,,,1212166.4,1121550.9,1256598.0,1349982.2,
244,465.23127565896857,4.0927544,,,,,,,,,,,17569.445,14924.1875,17296.336,16134.227,
245,488.3073144443985,4.0927544,,,,,,,,,,,116349.18,110937.43,128326.75,128408.23,
246,463.2837965246686,4.0927544,,,,,,,,,,,5728.009,5049.613,6447.894,6302.575,
248,460.3105489311227,4.1035466,,,,,,,,,,,13109.681,12939.203,16108.176,13717.52,
251,622.3656494371236,4.135971,,,,,,,,,,,12856.93,13133.528,14629.977,15084.974,
252,551.3366662394191,4.304625,,,,,,,,,,,8319.602,7238.178,9003.3955,9716.725,
253,619.2872706204397,4.143194,,,,,,,,,,,13904.801,21463.979,24545.006,26099.195,
255,474.2553607133118,4.1576204,,,,,,,,,,,45524.59,44230.836,51948.992,55236.562,
256,502.2865444803039,4.161249,,,,,,,,,,,7359.9487,9345.867,10581.073,11390.794,
259,652.412549270141,4.168457,,,,,,,,,,,106133.445,86625.484,113683.625,114051.945,
260,448.2335161003888,4.1828146,,,,,,,,,,,19022.54,15639.145,51020.81,47797.25,
263,487.27555185555724,4.20425,,,,,,,,,,,82326.59,71509.63,88437.836,93019.375,
264,504.30214777224825,4.20425,,,,,,,,,,,1381401.4,1232351.6,1479259.9,1532108.1,
