id,mz,rt,rtmin,rtmax,mean_inten,CPD-D-60m,CPD-H-60m,CPD-M-60m,CPD-R-60m
420,352.19661,5.4059,5.3351,5.606,326500.0,16840.0,17970.0,14980.0,16930.0
421,548.24814,5.4131,5.3126,5.6917,616500.0,34860.0,32320.0,33080.0,33770.0
422,440.30076,5.4736,5.0831,5.6774,366600.0,5390.0,77760.0,30340.0,11630.0
424,458.21741,5.4489,5.3076,5.606,439900.0,46130.0,45090.0,40770.0,45060.0
425,430.28398,5.5515,5.357,5.6995,1177000.0,1110.0,1059.0,734.7,88770.0
426,548.21312,5.4559,5.3003,6.009,1338000.0,125900.0,136700.0,121400.0,132400.0
427,462.22537,5.4737,5.3543,5.606,324800.0,95.19,13770.0,112.4,4380.0
428,412.27322,5.5336,5.3426,5.7283,343700.0,2498.0,2981.0,454.9,27160.0
429,396.22302,5.4775,5.4109,5.7066,522700.0,28020.0,27740.0,23140.0,25970.0
431,533.25781,5.4979,5.4208,5.721,5777000.0,362800.0,352900.0,324300.0,351800.0
432,532.25452,5.4979,5.4208,5.721,18600000.0,1176000.0,1120000.0,1056000.0,1129000.0
433,493.25609,5.5013,5.4391,5.8356,2260000.0,82890.0,102400.0,91660.0,73090.0
